predicate	count	fraction
biolink:affects	145	0.19333333333333333
biolink:genetically_associated_with	123	0.164
biolink:interacts_with	116	0.15466666666666667
biolink:subclass_of	80	0.10666666666666667
biolink:treats_or_applied_or_studied_to_treat	57	0.076
biolink:related_to	52	0.06933333333333333
biolink:physically_interacts_with	40	0.05333333333333334
biolink:regulates	25	0.03333333333333333
biolink:directly_physically_interacts_with	25	0.03333333333333333
biolink:genetically_interacts_with	18	0.024
biolink:has_phenotype	15	0.02
biolink:has_adverse_event	13	0.017333333333333333
biolink:contributes_to	13	0.017333333333333333
biolink:target_for	11	0.014666666666666666
biolink:affects_response_to	5	0.006666666666666667
biolink:causes	3	0.004
biolink:decreases_response_to	2	0.0026666666666666666
biolink:contraindicated_in	2	0.0026666666666666666
biolink:treats	2	0.0026666666666666666
biolink:ameliorates_condition	1	0.0013333333333333333
biolink:has_part	1	0.0013333333333333333
biolink:increases_response_to	1	0.0013333333333333333
