question_id	kg_edges	n_runs	silence_rate	match_rate	precision_cond_on_output	recall_cond_on_output	f1_cond_on_output	union_recall	union_precision	mode_share	mode_set_size	mean_pairwise_jaccard	union_set_size	union_tp
Q1	2	100	0.040000000000000036	0.0	0.0	0.0	0.0	0.0	0.0	0.86	1	0.8327272727272728	3	0
Q10	1	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q100	3	100	0.010000000000000009	0.97	0.9646464646464646	0.32659932659932656	0.4868686868686869	0.3333333333333333	0.25	0.94	1	0.9120538720538721	4	1
Q101	8	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q102	5	100	0.0	0.18	0.13083333333333333	0.036000000000000004	0.054722222222222235	0.4	0.25	0.45	1	0.35095286195286196	8	2
Q103	8	100	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0	0.9408080808080808	2	0
Q104	7	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	1	0.7145454545454546	5	0
Q105	7	100	0.0	0.06	0.045	0.00857142857142857	0.014166666666666668	0.2857142857142857	0.3333333333333333	0.7	1	0.6373063973063973	6	2
Q106	9	100	0.020000000000000018	0.02	0.02040816326530612	0.0022675736961451248	0.004081632653061224	0.1111111111111111	0.2	0.7	1	0.5582828282828283	5	1
Q107	7	100	0.0	0.05	0.025	0.007142857142857142	0.011111111111111112	0.14285714285714285	0.2	0.76	1	0.7464309764309764	5	1
Q108	5	100	0.040000000000000036	0.0	0.0	0.0	0.0	0.0	0.0	0.74	1	0.6280808080808081	5	0
Q109	7	100	0.0	0.84	0.805	0.12	0.20805555555555558	0.14285714285714285	0.16666666666666666	0.77	1	0.6577104377104377	6	1
Q11	5	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q110	3	100	0.020000000000000018	0.0	0.0	0.0	0.0	0.0	0.0	0.81	1	0.8093939393939394	3	0
Q111	1	100	0.050000000000000044	0.0	0.0	0.0	0.0	0.0	0.0	0.76	1	0.7581818181818182	2	0
Q112	7	100	0.0	0.04	0.02	0.005714285714285714	0.008888888888888889	0.14285714285714285	0.16666666666666666	0.58	1	0.5401010101010101	6	1
Q113	8	100	0.0	0.03	0.015	0.00375	0.006000000000000001	0.125	0.16666666666666666	0.69	1	0.6324309764309765	6	1
Q114	7	100	0.0	0.2	0.135	0.028571428571428567	0.046388888888888896	0.14285714285714285	0.2	0.69	1	0.6300336700336701	5	1
Q115	5	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69	1	0.6976094276094276	6	0
Q116	8	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	1	0.5257912457912458	5	0
Q117	5	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	1	0.6411447811447811	5	0
Q118	3	100	0.0	0.02	0.01	0.006666666666666666	0.008	0.3333333333333333	0.2	0.74	1	0.691986531986532	5	1
Q119	7	100	0.06999999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.64	1	0.5613468013468013	6	0
Q12	1	100	0.95	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0	0.9032323232323233	2	0
Q120	9	100	0.030000000000000027	0.94	0.9690721649484536	0.1145475372279496	0.20393626991565136	0.3333333333333333	0.75	0.84	1	0.7611447811447811	4	3
Q121	9	100	0.9299999999999999	0.03	0.42857142857142855	0.047619047619047616	0.08571428571428572	0.1111111111111111	0.5	0.93	0	0.8660606060606061	2	1
Q122	5	100	0.69	0.0	0.0	0.0	0.0	0.0	0.0	0.69	0	0.5036363636363637	4	0
Q123	5	100	0.28	0.66	0.9027777777777778	0.18333333333333335	0.3042328042328043	0.2	0.25	0.64	1	0.4981481481481482	4	1
Q124	1	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59	1	0.48404040404040405	6	0
Q125	5	100	0.010000000000000009	0.0	0.0	0.0	0.0	0.0	0.0	0.66	1	0.6247777777777778	8	0
Q126	5	100	0.0	0.71	0.5883333333333334	0.14200000000000002	0.2248809523809524	0.2	0.16666666666666666	0.47	1	0.41840067340067344	6	1
Q127	7	100	0.0	0.47	0.36833333333333335	0.07285714285714286	0.11911111111111111	0.42857142857142855	0.5	0.38	1	0.33360269360269357	6	3
Q128	6	100	0.020000000000000018	0.85	0.8112244897959183	0.18537414965986393	0.2957968901846453	0.3333333333333333	0.2857142857142857	0.4	1	0.4054208754208754	7	2
Q129	8	100	0.010000000000000009	0.03	0.015151515151515152	0.003787878787878788	0.0060606060606060615	0.125	0.16666666666666666	0.67	1	0.6882491582491583	6	1
Q13	1	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q130	8	100	0.0	0.3	0.19	0.0375	0.06177777777777778	0.25	0.4	0.61	1	0.5811111111111111	5	2
Q131	5	100	0.09999999999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1	0.3812289562289562	5	0
Q132	7	100	0.0	0.18	0.135	0.02571428571428571	0.0425	0.42857142857142855	0.6	0.74	1	0.670942760942761	5	3
Q133	5	100	0.0	0.08	0.055	0.016	0.02428571428571429	0.2	0.2	0.85	1	0.7967676767676768	5	1
Q134	7	100	0.0	0.2	0.13166666666666665	0.03	0.04788888888888889	0.42857142857142855	0.5	0.72	1	0.6707912457912457	6	3
Q135	9	100	0.08999999999999997	0.0	0.0	0.0	0.0	0.0	0.0	0.76	1	0.6118855218855219	4	0
Q136	2	100	0.29000000000000004	0.65	0.8380281690140845	0.45774647887323944	0.5845070422535211	0.5	0.25	0.54	1	0.4403367003367003	4	1
Q137	5	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.74	1	0.7991919191919192	3	0
Q138	2	100	0.040000000000000036	0.0	0.0	0.0	0.0	0.0	0.0	0.87	1	0.8433333333333334	2	0
Q139	3	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	1	0.8081818181818182	3	0
Q14	6	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q140	2	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.78	1	0.8068686868686868	2	0
Q141	4	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.87	1	0.8757575757575757	2	0
Q142	2	100	0.79	0.0	0.0	0.0	0.0	0.0	0.0	0.79	0	0.6608080808080808	2	0
Q143	1	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	1	0.8198989898989899	3	0
Q144	2	100	0.06000000000000005	0.0	0.0	0.0	0.0	0.0	0.0	0.82	1	0.7851851851851852	3	0
Q145	5	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	1	0.9011111111111111	2	0
Q146	2	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	1	0.8453535353535353	3	0
Q147	6	100	0.98	0.02	0.8333333333333333	0.25	0.36507936507936506	0.3333333333333333	0.6666666666666666	0.98	0	0.9602693602693602	3	2
Q148	7	100	0.94	0.02	0.25	0.047619047619047616	0.0787037037037037	0.14285714285714285	0.5	0.94	0	0.8847474747474747	2	1
Q149	2	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q15	2	100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	1	0.8127609427609427	4	0
Q150	5	100	0.99	0.01	1.0	0.2	0.33333333333333337	0.2	1.0	0.99	0	0.98	1	1
Q151	1	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q152	2	100	0.97	0.0	0.0	0.0	0.0	0.0	0.0	0.97	0	0.9406060606060606	3	0
Q153	10	100	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0	1.0	0	0
Q154	5	100	0.020000000000000018	0.16	0.11734693877551021	0.0326530612244898	0.0500485908649174	0.2	0.25	0.74	1	0.6352525252525253	4	1
Q155	4	100	0.0	0.3	0.1716666666666667	0.075	0.10085714285714285	0.75	0.5	0.45	1	0.47464646464646465	6	3
Q156	5	100	0.10999999999999999	0.01	0.0056179775280898875	0.0022471910112359553	0.003210272873194222	0.2	0.25	0.75	1	0.5939057239057239	4	1
