predicate,count,fraction
biolink:interacts_with,109,0.18016528925619835
biolink:affects,90,0.1487603305785124
biolink:subclass_of,80,0.1322314049586777
biolink:genetically_associated_with,59,0.09752066115702479
biolink:treats_or_applied_or_studied_to_treat,53,0.08760330578512397
biolink:related_to,51,0.08429752066115702
biolink:physically_interacts_with,38,0.0628099173553719
biolink:directly_physically_interacts_with,24,0.03966942148760331
biolink:regulates,22,0.03636363636363636
biolink:genetically_interacts_with,18,0.02975206611570248
biolink:has_adverse_event,13,0.021487603305785124
biolink:has_phenotype,13,0.021487603305785124
biolink:contributes_to,11,0.01818181818181818
biolink:target_for,8,0.013223140495867768
biolink:affects_response_to,5,0.008264462809917356
biolink:causes,3,0.0049586776859504135
biolink:contraindicated_in,2,0.003305785123966942
biolink:decreases_response_to,2,0.003305785123966942
biolink:ameliorates_condition,1,0.001652892561983471
biolink:has_part,1,0.001652892561983471
biolink:treats,1,0.001652892561983471
biolink:increases_response_to,1,0.001652892561983471
