question_id	subject_curie	object_curie	n_edges	status
Q1	MONDO:0005180	NCBIGene:348	2	OK
Q2	MONDO:0005300	NCBIGene:3569	5	OK
Q3	NCBIGene:7124	CHEBI:6801	1	OK
Q4	MONDO:0005180	CHEBI:3756	4	OK
Q5	MONDO:0005300	CHEBI:3756	7	OK
Q6	MONDO:0008383	CHEBI:41774	1	OK
Q7	NCBIGene:7422	CHEBI:15365	1	OK
Q8	MONDO:0007254	NCBIGene:3569	8	OK
Q9	MONDO:0005300	NCBIGene:7422	6	OK
Q10	MONDO:0008383	CHEBI:27899	1	OK
Q11	MONDO:0005300	CHEBI:5855	6	OK
Q12	NCBIGene:3569	CHEBI:5855	1	OK
Q13	MONDO:0005148	CHEBI:41774	1	OK
Q14	MONDO:0004979	CHEBI:10033	6	OK
Q15	MONDO:0005010	NCBIGene:3569	3	OK
Q16	NCBIGene:673	CHEBI:6801	1	OK
Q17	NCBIGene:1636	CHEBI:6801	1	OK
Q18	MONDO:0004975	CHEBI:41774	1	OK
Q19	MONDO:0007254	CHEBI:3756	1	OK
Q20	NCBIGene:7422	CHEBI:6801	1	OK
Q21	MONDO:0008383	NCBIGene:7422	4	OK
Q22	MONDO:0001134	NCBIGene:1636	1	OK
Q23	NCBIGene:7124	CHEBI:41774	1	OK
Q24	MONDO:0004975	CHEBI:15365	8	OK
Q25	MONDO:0005233	NCBIGene:7157	8	OK
Q26	NCBIGene:7124	CHEBI:5855	4	OK
Q27	MONDO:0005148	CHEBI:10033	2	OK
Q28	NCBIGene:348	CHEBI:6801	1	OK
Q29	MONDO:0005180	NCBIGene:1956	1	OK
Q30	MONDO:0004979	NCBIGene:3569	2	OK
Q31	NCBIGene:7422	CHEBI:41879	3	OK
Q32	MONDO:0008383	NCBIGene:7157	1	OK
Q33	MONDO:0005300	NCBIGene:7124	5	OK
Q34	MONDO:0005148	CHEBI:41879	3	OK
Q35	MONDO:0005180	CHEBI:27899	2	OK
Q36	MONDO:0005148	NCBIGene:673	3	OK
Q37	MONDO:0004975	CHEBI:27899	2	OK
